"","contrast","neighborhood","estimate","SE","df","z.ratio","p.value"
"1","Winter - Spring","pennsylvania_1",2.60520162014423,0.447173157936913,Inf,5.82593470539162,3.40376276053433e-08
"2","Winter - Summer","pennsylvania_1",1.38420185262362,0.446972442191969,Inf,3.09683936180817,0.0105471760932913
"3","Winter - Fall","pennsylvania_1",1.62884084086165,0.447815200135553,Inf,3.63730583590866,0.00156982727128774
"4","Spring - Summer","pennsylvania_1",-1.22099976752061,0.446067352829951,Inf,-2.7372542728678,0.0314854450129088
"5","Spring - Fall","pennsylvania_1",-0.976360779282581,0.446911817536873,Inf,-2.18468328867143,0.12744711996605
"6","Summer - Fall","pennsylvania_1",0.244638988238032,0.446710984366731,Inf,0.547644890767212,0.947210423317028
"7","Winter - Spring","massachusetts_1",1.87606630854289,0.463447811506657,Inf,4.04806379912302,0.00030125200009179
"8","Winter - Summer","massachusetts_1",-0.15559186673221,0.460407517503009,Inf,-0.337943801560958,0.986716131482112
"9","Winter - Fall","massachusetts_1",0.285313854320568,0.461405218342006,Inf,0.618358533841041,0.92625832456867
"10","Spring - Summer","massachusetts_1",-2.0316581752751,0.460883462187441,Inf,-4.40818198516489,6.15586353890363e-05
"11","Spring - Fall","massachusetts_1",-1.59075245422232,0.461880134946106,Inf,-3.44408069077909,0.0032134113549207
"12","Summer - Fall","massachusetts_1",0.440905721052778,0.458829453327493,Inf,0.960935959658366,0.771653239049687
"13","Winter - Spring","massachusetts_2",1.87606630854289,0.463447811506657,Inf,4.04806379912303,0.000301252000092012
"14","Winter - Summer","massachusetts_2",-0.155591866732208,0.460407517503009,Inf,-0.337943801560954,0.986716131482113
"15","Winter - Fall","massachusetts_2",0.285313854320569,0.461405218342006,Inf,0.618358533841043,0.926258324568669
"16","Spring - Summer","massachusetts_2",-2.0316581752751,0.460883462187441,Inf,-4.40818198516489,6.15586353890363e-05
"17","Spring - Fall","massachusetts_2",-1.59075245422232,0.461880134946106,Inf,-3.44408069077909,0.00321341135492004
"18","Summer - Fall","massachusetts_2",0.440905721052778,0.458829453327493,Inf,0.960935959658364,0.771653239049688
