"","season","neighborhood","emmean","SE","df","asymp.LCL","asymp.UCL"
"1","Winter","pennsylvania_1",9.15185896468558,0.316837587730374,Inf,8.5308687037855,9.77284922558566
"2","Spring","pennsylvania_1",6.54665734454135,0.315559465363454,Inf,5.92817215744827,7.16514253163444
"3","Summer","pennsylvania_1",7.76765711206196,0.315274970589565,Inf,7.14972952447949,8.38558469964444
"4","Fall","pennsylvania_1",7.52301812382393,0.31646863426514,Inf,6.90275099842768,8.14328524922018
"5","Winter","massachusetts_1",7.20776139171235,0.327372410601223,Inf,6.56612325740189,7.8493995260228
"6","Spring","massachusetts_1",5.33169508316946,0.328041428431615,Inf,4.68874569800642,5.9746444683325
"7","Summer","massachusetts_1",7.36335325844456,0.323731967761029,Inf,6.72885026098866,7.99785625590046
"8","Fall","massachusetts_1",6.92244753739178,0.325149319990645,Inf,6.28516658061243,7.55972849417113
"9","Winter","massachusetts_2",7.20776139171235,0.327372410601223,Inf,6.56612325740189,7.8493995260228
"10","Spring","massachusetts_2",5.33169508316946,0.328041428431615,Inf,4.68874569800642,5.9746444683325
"11","Summer","massachusetts_2",7.36335325844456,0.323731967761029,Inf,6.72885026098866,7.99785625590046
"12","Fall","massachusetts_2",6.92244753739178,0.325149319990645,Inf,6.28516658061243,7.55972849417113
"13","Winter","massachusetts_3",7.20776139171235,0.327372410601223,Inf,6.56612325740189,7.8493995260228
"14","Spring","massachusetts_3",5.33169508316946,0.328041428431615,Inf,4.68874569800642,5.9746444683325
"15","Summer","massachusetts_3",7.36335325844456,0.323731967761029,Inf,6.72885026098866,7.99785625590046
"16","Fall","massachusetts_3",6.92244753739178,0.325149319990645,Inf,6.28516658061243,7.55972849417113
"17","Winter","massachusetts_4",7.20776139171235,0.327372410601223,Inf,6.56612325740189,7.8493995260228
"18","Spring","massachusetts_4",5.33169508316946,0.328041428431615,Inf,4.68874569800642,5.97464446833249
"19","Summer","massachusetts_4",7.36335325844456,0.323731967761029,Inf,6.72885026098866,7.99785625590045
"20","Fall","massachusetts_4",6.92244753739178,0.325149319990645,Inf,6.28516658061242,7.55972849417113
"21","Winter","massachusetts_5",6.32084317897043,0.373005990608009,Inf,5.58976487136104,7.05192148657981
