Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
1/1/2020,AQS,250250002,1,1.7,ug/m3 LC,9,BOSTON KENMORE SQ,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,14460,"Boston-Cambridge-Newton, MA-NH",25,Massachusetts,25,Suffolk,42.34887271,-71.09716279
1/4/2020,AQS,250250002,1,8,ug/m3 LC,44,BOSTON KENMORE SQ,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,14460,"Boston-Cambridge-Newton, MA-NH",25,Massachusetts,25,Suffolk,42.34887271,-71.09716279
1/7/2020,AQS,250250002,1,4.3,ug/m3 LC,24,BOSTON KENMORE SQ,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,14460,"Boston-Cambridge-Newton, MA-NH",25,Massachusetts,25,Suffolk,42.34887271,-71.09716279
1/10/2020,AQS,250250002,1,4.3,ug/m3 LC,24,BOSTON KENMORE SQ,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,14460,"Boston-Cambridge-Newton, MA-NH",25,Massachusetts,25,Suffolk,42.34887271,-71.09716279
1/13/2020,AQS,250250002,1,5.7,ug/m3 LC,32,BOSTON KENMORE SQ,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,14460,"Boston-Cambridge-Newton, MA-NH",25,Massachusetts,25,Suffolk,42.34887271,-71.09716279
1/16/2020,AQS,250250002,1,4.4,ug/m3 LC,24,BOSTON KENMORE SQ,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,14460,"Boston-Cambridge-Newton, MA-NH",25,Massachusetts,25,Suffolk,42.34887271,-71.09716279
1/19/2020,AQS,250250002,1,2.7,ug/m3 LC,15,BOSTON KENMORE SQ,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,14460,"Boston-Cambridge-Newton, MA-NH",25,Massachusetts,25,Suffolk,42.34887271,-71.09716279
1/22/2020,AQS,250250002,1,8.9,ug/m3 LC,49,BOSTON KENMORE SQ,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,14460,"Boston-Cambridge-Newton, MA-NH",25,Massachusetts,25,Suffolk,42.34887271,-71.09716279
1/25/2020,AQS,250250002,1,5.4,ug/m3 LC,30,BOSTON KENMORE SQ,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,14460,"Boston-Cambridge-Newton, MA-NH",25,Massachusetts,25,Suffolk,42.34887271,-71.09716279
1/28/2020,AQS,250250002,1,3,ug/m3 LC,17,BOSTON KENMORE SQ,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,14460,"Boston-Cambridge-Newton, MA-NH",25,Massachusetts,25,Suffolk,42.34887271,-71.09716279
