Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
1/1/2020,AQS,360610079,1,2.3,ug/m3 LC,13,IS 45,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.7997,-73.93432
1/4/2020,AQS,360610079,1,12,ug/m3 LC,56,IS 45,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.7997,-73.93432
1/7/2020,AQS,360610079,1,8.2,ug/m3 LC,46,IS 45,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.7997,-73.93432
1/10/2020,AQS,360610079,1,6.1,ug/m3 LC,34,IS 45,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.7997,-73.93432
1/13/2020,AQS,360610079,1,7.8,ug/m3 LC,43,IS 45,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.7997,-73.93432
1/16/2020,AQS,360610079,1,8,ug/m3 LC,44,IS 45,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.7997,-73.93432
1/19/2020,AQS,360610079,1,5.2,ug/m3 LC,29,IS 45,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.7997,-73.93432
1/22/2020,AQS,360610079,1,10.7,ug/m3 LC,54,IS 45,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.7997,-73.93432
1/25/2020,AQS,360610079,1,7,ug/m3 LC,39,IS 45,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.7997,-73.93432
1/28/2020,AQS,360610079,1,1.7,ug/m3 LC,9,IS 45,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.7997,-73.93432
1/31/2020,AQS,360610079,1,8.9,ug/m3 LC,49,IS 45,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.7997,-73.93432
2/3/2020,AQS,360610079,1,8,ug/m3 LC,44,IS 45,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.7997,-73.93432
2/6/2020,AQS,360610079,1,6,ug/m3 LC,33,IS 45,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.7997,-73.93432
2/9/2020,AQS,360610079,1,9.1,ug/m3 LC,51,IS 45,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.7997,-73.93432
2/12/2020,AQS,360610079,1,8.2,ug/m3 LC,46,IS 45,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.7997,-73.93432
2/15/2020,AQS,360610079,1,5.9,ug/m3 LC,33,IS 45,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.7997,-73.93432
2/18/2020,AQS,360610079,1,11.1,ug/m3 LC,55,IS 45,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.7997,-73.93432
2/21/2020,AQS,360610079,1,4.2,ug/m3 LC,23,IS 45,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.7997,-73.93432
2/24/2020,AQS,360610079,1,17,ug/m3 LC,66,IS 45,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.7997,-73.93432
2/27/2020,AQS,360610079,1,2.3,ug/m3 LC,13,IS 45,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.7997,-73.93432
3/1/2020,AQS,360610079,1,5.2,ug/m3 LC,29,IS 45,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.7997,-73.93432
3/4/2020,AQS,360610079,1,3.7,ug/m3 LC,21,IS 45,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.7997,-73.93432
3/7/2020,AQS,360610079,1,4.4,ug/m3 LC,24,IS 45,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.7997,-73.93432
8/7/2020,AQS,360610079,1,11.1,ug/m3 LC,55,IS 45,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.7997,-73.93432
8/10/2020,AQS,360610079,1,13.5,ug/m3 LC,59,IS 45,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.7997,-73.93432
8/13/2020,AQS,360610079,1,10.7,ug/m3 LC,54,IS 45,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.7997,-73.93432
8/16/2020,AQS,360610079,1,7.1,ug/m3 LC,39,IS 45,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.7997,-73.93432
8/19/2020,AQS,360610079,1,8.7,ug/m3 LC,48,IS 45,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.7997,-73.93432
8/22/2020,AQS,360610079,1,9.9,ug/m3 LC,52,IS 45,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.7997,-73.93432
8/25/2020,AQS,360610079,1,9.2,ug/m3 LC,51,IS 45,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.7997,-73.93432
