Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
1/4/2020,AQS,100031003,1,7,ug/m3 LC,39,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
1/7/2020,AQS,100031003,1,6.9,ug/m3 LC,38,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
1/10/2020,AQS,100031003,1,4.8,ug/m3 LC,27,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
1/13/2020,AQS,100031003,1,5.3,ug/m3 LC,29,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
1/19/2020,AQS,100031003,1,6.1,ug/m3 LC,34,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
1/22/2020,AQS,100031003,1,9.1,ug/m3 LC,51,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
1/25/2020,AQS,100031003,1,3.8,ug/m3 LC,21,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
1/28/2020,AQS,100031003,1,1.8,ug/m3 LC,10,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
1/31/2020,AQS,100031003,1,9,ug/m3 LC,50,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
2/3/2020,AQS,100031003,1,8.2,ug/m3 LC,46,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
