date,month,pm2.5_dailymean,aqi,units,site_name,site_id,state,method_code,method_desc,lat,long
2020-01-01,1,1.7,9,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-01-04,1,8,44,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-01-07,1,4.3,24,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-01-10,1,4.3,24,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-01-13,1,5.7,32,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-01-16,1,4.4,24,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-01-19,1,2.7,15,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-01-22,1,8.9,49,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-01-25,1,5.4,30,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-01-28,1,3,17,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-01-31,1,6.5,36,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-02-03,2,7.6,42,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-02-06,2,3.6,20,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
